Country,Age,Count,Education level,Gender,Industry,Org,Org size,Role group,Role group Avg,Role,Problems,Prob_RoleGroup [%],Prob_RoleGroup Avg [%],Hope,Hope_RoleGroup [%],,,,,,
Nigeria,42-57,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Mexico,58-67,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
United States,58-67,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,"10,001",Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Kenya,26-41,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Education,Others avg.,Student,,,,,,,,,,,
United States,42-57,1,Master's degree,Female,Insurance,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Brazil,42-57,1,Master's degree,Male,Insurance,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,,,,,,,,,,,
South Africa,26-41,1,Master's degree,Male,Healthcare,Government agency,"3,001-5,000",Scientists,Others avg.,Research Scientist,,,,,,,,,,,
United States,42-57,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Impacts to individual privacy,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
United States,58-67,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
China,26-41,1,Master's degree,Female,,Educational institution,,Data science,Data science,Data Scientist,,,,,,,,,,,
Austria,42-57,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Social impacts from bias in data and models,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
Brazil,58-67,1,Master's degree,Male,Telecommunications,Commercial (for-profit) entity,"10,001",Business professional,Others avg.,Line-of-Business Manager,,,,,,,,,,,
New Zealand,42-57,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,"10,001",Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
Colombia,68-100,1,Master's degree,Male,Technology,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,,,,,,,,,,,
United States,26-41,1,Master's degree,Female,,Educational institution,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Uruguay,42-57,1,Master's degree,Female,Media,Commercial (for-profit) entity,"201-1,000",Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Ghana,42-57,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Business Analyst,,,,,,,,,,,
United States,58-67,1,Master's degree,Female,Retail,Commercial (for-profit) entity,"5,001-10,000",Business professional,Others avg.,Line-of-Business Manager,Social impacts from bias in data and models,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
New Zealand,42-57,1,Doctoral degree,Male,,,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
United Kingdom,26-41,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
India,26-41,1,Master's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Nigeria,42-57,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
United States,42-57,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Mexico,42-57,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
Brazil,26-41,1,Bachelor's degree,Male,Healthcare,Commercial (for-profit) entity,"3,001-5,000",Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,68-100,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
France,26-41,1,Master's degree,Female,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Benin,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,,,,,,,,,,,
United States,18-25,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Data science,Data science,Data Scientist,,,,,,,,,,,
United States,26-41,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
United States,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,,,,,,,,,,,
Argentina,42-57,1,Some college,Male,Other,Commercial (for-profit) entity,"3,001-5,000",Business professional,Others avg.,Business Analyst,,,,,,,,,,,
Ghana,26-41,1,Some college,Male,Telecommunications,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,,,,,,,,,,,
United States,42-57,1,Master's degree,Male,Technology,Commercial (for-profit) entity,1-200,Data science,Data science,ML Engineer,,,,,,,,,,,
Pakistan,26-41,1,Bachelor's degree,Male,Not For Profit,Not-for-profit organization,1-200,Operations,Others avg.,System Administrator,Advanced information warfare,0.6,0.03877471888,Further innovation in the open-source data science community,0.5882,,,,,,
Argentina,26-41,1,Some college,Male,,Commercial (for-profit) entity,,Other,Others avg.,Developer,,,,,,,,,,,
Spain,42-57,1,Master's degree,Female,Consulting,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Business Analyst,Other (please indicate below),0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
United States,42-57,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
Brazil,42-57,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,,,,,,,,,,,
New Zealand,26-41,1,Bachelor's degree,Male,Government,Government agency,"201-1,000",Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
United States,42-57,1,Doctoral degree,Male,Government,Government agency,"10,001",Scientists,Others avg.,Research Scientist,,,,,,,,,,,
United States,26-41,1,Bachelor's degree,Male,Professional Services,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
Philippines,26-41,1,Master's degree,Male,Healthcare,Commercial (for-profit) entity,"3,001-5,000",Data science,Data science,Data Scientist,,,,,,,,,,,
India,18-25,1,Bachelor's degree,Male,Electronics,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
Japan,18-25,1,Some college,Male,,Commercial (for-profit) entity,,Data science,Data science,Data Scientist,,,,,,,,,,,
Canada,68-100,1,Bachelor's degree,Male,Energy,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
Honduras,26-41,1,Bachelor's degree,Male,,Educational institution,,Operations,Others avg.,System Administrator,,,,,,,,,,,
United States,26-41,1,Master's degree,Male,Energy,Commercial (for-profit) entity,"10,001",Operations,Others avg.,DevOps,,,,,,,,,,,
United States,58-67,1,Bachelor's degree,Male,,,,Other,Others avg.,Developer,,,,,,,,,,,
Italy,26-41,1,Doctoral degree,Male,Finance,Commercial (for-profit) entity,"1,001-3,000",Data science,Data science,Data Scientist,,,,,,,,,,,
Poland,26-41,1,Some college,Female,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
United Arab Emirates,18-25,1,Master's degree,Female,,Commercial (for-profit) entity,,Data science,Data science,Data Scientist,,,,,,,,,,,
France,26-41,1,Master's degree,Male,,Commercial (for-profit) entity,,Data science,Data science,Data Scientist,,,,,,,,,,,
United States,42-57,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
United States,58-67,1,Master's degree,Male,Government,Government agency,"10,001",Operations,Others avg.,System Administrator,Social impacts from bias in data and models,0.6,0.03877471888,More resources given to data science teams within organizations,0.5882,,,,,,
United States,26-41,1,Master's degree,Female,Education,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Romania,42-57,1,Master's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Other (please indicate below),0.1931,,,,,,
United States,26-41,1,Doctoral degree,Male,Media,Commercial (for-profit) entity,"5,001-10,000",Data science,Data science,Data Scientist,,,,,,,,,,,
United States,42-57,1,Master's degree,Male,Energy,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Mexico,42-57,1,Master's degree,Male,Other,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,26-41,1,Master's degree,Female,Government,Government agency,1-200,Data science,Data science,Data Scientist,,,,,,,,,,,
United States,18-25,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Engineer,,,,,,,,,,,
Japan,42-57,1,High School or equivalent,Male,Other,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
India,26-41,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Nigeria,42-57,1,Master's degree,Male,Government,Government agency,"201-1,000",Operations,Others avg.,System Administrator,,,,,,,,,,,
Italy,42-57,1,Doctoral degree,Male,Telecommunications,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Business Analyst,,,,,,,,,,,
United States,42-57,1,Doctoral degree,Male,Healthcare,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,,,,,,,,,,,
Indonesia,18-25,1,Bachelor's degree,Male,,,,Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Argentina,42-57,1,Master's degree,Male,Energy,Commercial (for-profit) entity,"1,001-3,000",Business professional,Others avg.,Product Manager,,,,,,,,,,,
Peru,18-25,1,Bachelor's degree,Female,Engineering,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Business Analyst,,,,,,,,,,,
Iraq,26-41,1,Master's degree,Female,,,,Education,Others avg.,Student,,,,,,,,,,,
United States,26-41,1,Master's degree,Male,Healthcare,Commercial (for-profit) entity,"201-1,000",Scientists,Others avg.,Research Scientist,,,,,,,,,,,
United States,26-41,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Business professional,Others avg.,Business Analyst,,,,,,,,,,,
Tunisia,42-57,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
El Salvador,26-41,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Social impacts from bias in data and models,0.4,0.03877471888,More resources given to data science teams within organizations,0.4098,,,,,,
United Kingdom,42-57,1,Doctoral degree,Male,Manufacturing,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,,,,,,,,,,,
United States,58-67,1,Master's degree,Male,,Educational institution,,Other,Others avg.,Developer,Advanced information warfare,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
India,18-25,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Student,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Spain,26-41,1,Master's degree,Male,,Commercial (for-profit) entity,,Data science,Data science,Data Scientist,,,,,,,,,,,
United States,26-41,1,Doctoral degree,Male,Government,Government agency,"10,001",Scientists,Others avg.,Research Scientist,,,,,,,,,,,
United Kingdom,58-67,1,Doctoral degree,Male,Transportation & Logistics,Commercial (for-profit) entity,"10,001",Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Egypt,42-57,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,,,,,,,,,,,
Australia,42-57,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,42-57,1,Bachelor's degree,Male,Healthcare,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,,,,,,,,,,,
Germany,42-57,1,Master's degree,Male,Transportation & Logistics,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,,,,,,,,,,,
New Zealand,18-25,1,Master's degree,Male,,,,Education,Others avg.,Student,,,,,,,,,,,
United States,58-67,1,Master's degree,Male,,Government agency,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Australia,42-57,1,Master's degree,Male,,Government agency,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
United States,26-41,1,Master's degree,Female,Engineering,Government agency,"5,001-10,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,42-57,1,High School or equivalent,Male,,Not-for-profit organization,,Business professional,Others avg.,Product Manager,,,,,,,,,,,
Australia,42-57,1,Master's degree,Male,Research & Development,Government agency,"1,001-3,000",Data science,Data science,Data Scientist,,,,,,,,,,,
Ghana,26-41,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
Australia,42-57,1,Doctoral degree,Female,Finance,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,,,,,,,,,,,
Japan,58-67,1,Some college,Male,,Not-for-profit organization,,Other,Others avg.,Developer,,,,,,,,,,,
Australia,68-100,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
United States,26-41,1,Doctoral degree,Male,Finance,Commercial (for-profit) entity,"1,001-3,000",Other,Others avg.,Developer,,,,,,,,,,,
Guyana,26-41,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
South Africa,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,More specialized data science hardware,0.1931,,,,,,
Portugal,26-41,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Kenya,26-41,1,Bachelor's degree,Male,,Not-for-profit organization,,Operations,Others avg.,System Administrator,,,,,,,,,,,
Japan,26-41,1,Master's degree,Male,,Commercial (for-profit) entity,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Japan,68-100,1,Doctoral degree,Male,,Educational institution,,Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Colombia,26-41,1,Master's degree,Male,Finance,Commercial (for-profit) entity,"1,001-3,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Japan,58-67,1,Bachelor's degree,Female,Research & Development,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Japan,42-57,1,Some college,Male,Engineering,Commercial (for-profit) entity,1-200,Data science,Data science,Data Engineer,,,,,,,,,,,
United States,58-67,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Advanced information warfare,0.4,0.03877471888,More resources given to data science teams within organizations,0.4098,,,,,,
United States,42-57,1,Doctoral degree,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
United States,68-100,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Other (please indicate below),0.1931,,,,,,
United States,42-57,1,Bachelor's degree,Other,Research & Development,Not-for-profit organization,"10,001",Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
Australia,58-67,1,Doctoral degree,Male,Healthcare,Not-for-profit organization,"1,001-3,000",Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
Philippines,26-41,1,Master's degree,Male,Retail,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,,,,,,,,,,,
Thailand,68-100,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,26-41,1,Doctoral degree,Male,Manufacturing,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Taiwan,26-41,1,Doctoral degree,Male,,Educational institution,,Data science,Data science,Data Scientist,,,,,,,,,,,
Korea South,42-57,1,Some college,Male,,Educational institution,,Other,Others avg.,Developer,Advanced information warfare,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
India,42-57,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,68-100,1,Doctoral degree,Male,Consulting,Commercial (for-profit) entity,1-200,Data science,Data science,ML Engineer,Other (please indicate below),0.2,0.2,Other (please indicate below),0.1678,,,,,,
Singapore,42-57,1,Master's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Australia,42-57,1,Master's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Chile,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,,,,,,,,,,,
United States,26-41,1,Master's degree,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
United States,26-41,1,Doctoral degree,Male,,,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Malaysia,18-25,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Brazil,26-41,1,Master's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
United States,58-67,1,Some college,Male,Technology,Commercial (for-profit) entity,"1,001-3,000",Other,Others avg.,Other (please indicate below),Advanced information warfare,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
Taiwan,42-57,1,Bachelor's degree,Male,Manufacturing,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
Japan,26-41,1,Master's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
India,26-41,1,Master's degree,Male,Technology,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
Germany,58-67,1,Some college,Male,Manufacturing,Commercial (for-profit) entity,"5,001-10,000",Other,Others avg.,Other (please indicate below),Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
Colombia,42-57,1,Master's degree,Male,Government,Government agency,"5,001-10,000",Scientists,Others avg.,Applied Scientist,,,,,,,,,,,
Uruguay,18-25,1,No degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Developer,,,,,,,,,,,
Canada,68-100,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
India,18-25,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Scientists,Others avg.,Research Scientist,,,,,,,,,,,
Canada,68-100,1,Some college,Male,Technology,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Singapore,42-57,1,Master's degree,Female,,Government agency,,Business professional,Others avg.,Line-of-Business Manager,,,,,,,,,,,
Australia,26-41,1,Bachelor's degree,Female,,Government agency,,Operations,Others avg.,Cloud Security Manager,,,,,,,,,,,
Japan,26-41,1,High School or equivalent,Male,Telecommunications,Commercial (for-profit) entity,"1,001-3,000",Data science,Data science,Data Scientist,,,,,,,,,,,
Singapore,42-57,1,Bachelor's degree,Male,,Not-for-profit organization,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Australia,42-57,1,Bachelor's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Colombia,26-41,1,Bachelor's degree,Male,Finance,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Engineer,,,,,,,,,,,
Japan,42-57,1,Master's degree,Male,Manufacturing,Commercial (for-profit) entity,"5,001-10,000",Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
Japan,68-100,1,No degree,Male,,Not-for-profit organization,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Afghanistan,68-100,1,Some college,Other,,,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Australia,18-25,1,Some college,Male,Consulting,Commercial (for-profit) entity,"10,001",Other,Others avg.,Other (please indicate below),Lack of diversity and inclusion in the profession,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,26-41,1,Doctoral degree,Male,,Commercial (for-profit) entity,,Data science,Data science,Data Scientist,,,,,,,,,,,
United States,26-41,1,Master's degree,Male,,Commercial (for-profit) entity,,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Colombia,18-25,1,Bachelor's degree,Female,,,,Education,Others avg.,Student,,,,,,,,,,,
United States,68-100,1,Bachelor's degree,Male,,,,Operations,Others avg.,System Administrator,Other (please indicate below),0.6,0.03877471888,Other (please indicate below),0.5882,,,,,,
United States,26-41,1,Master's degree,Male,Technology,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Business Analyst,,,,,,,,,,,
Singapore,58-67,1,Some college,Male,Manufacturing,Commercial (for-profit) entity,"10,001",Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Chile,26-41,1,Some college,Female,,Commercial (for-profit) entity,,Other,Others avg.,Developer,,,,,,,,,,,
United Kingdom,26-41,1,Master's degree,Male,Construction,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,,,,,,,,,,,
Canada,58-67,1,Some college,Male,Entertainment,Commercial (for-profit) entity,"1,001-3,000",Business professional,Others avg.,Business Analyst,,,,,,,,,,,
Colombia,26-41,1,Bachelor's degree,Male,Transportation & Logistics,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,,,,,,,,,,,
Israel,26-41,1,Master's degree,Male,Manufacturing,Commercial (for-profit) entity,"10,001",Business professional,Others avg.,Business Analyst,,,,,,,,,,,
Vietnam,26-41,1,Some college,Male,Technology,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Bolivia,42-57,1,Bachelor's degree,Male,Energy,Commercial (for-profit) entity,1-200,Data science,Data science,Data Engineer,,,,,,,,,,,
Japan,26-41,1,Master's degree,Female,,Commercial (for-profit) entity,,Business professional,Others avg.,Business Analyst,,,,,,,,,,,
Jordan,42-57,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,,,,,,,,,,,
Brazil,42-57,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Singapore,26-41,1,Bachelor's degree,Male,Retail,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,,,,,,,,,,,
India,18-25,1,Bachelor's degree,Male,Agriculture,Commercial (for-profit) entity,1-200,Data science,Data science,Data Engineer,,,,,,,,,,,
India,26-41,1,No degree,Male,Technology,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
India,18-25,1,Bachelor's degree,Male,,,,Data science,Data science,ML Engineer,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
India,18-25,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,"3,001-5,000",Other,Others avg.,Developer,,,,,,,,,,,
Brazil,26-41,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,"10,001",Other,Others avg.,Developer,A reduction in job opportunities caused by automation,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Nigeria,18-25,1,High School or equivalent,Female,,,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
South Africa,42-57,1,Some college,Male,Professional Services,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Line-of-Business Manager,,,,,,,,,,,
Korea South,26-41,1,Bachelor's degree,Male,,Not-for-profit organization,,Education,Others avg.,Student,,,,,,,,,,,
China,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,,,,,,,,,,,
India,18-25,1,Master's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,68-100,1,Some college,Male,,,,Other,Others avg.,Other (please indicate below),Other (please indicate below),0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
India,18-25,1,Some college,Male,,Educational institution,,Education,Others avg.,Student,,,,,,,,,,,
United States,18-25,1,Master's degree,Female,,Commercial (for-profit) entity,,Data science,Data science,Data Scientist,,,,,,,,,,,
Germany,42-57,1,Master's degree,Male,Electronics,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),,,,,,,,,,,
Iran,26-41,1,Master's degree,Female,Technology,Not-for-profit organization,1-200,Data science,Data science,Data Scientist,,,,,,,,,,,
India,18-25,1,Some college,Male,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Japan,42-57,1,Doctoral degree,Male,Research & Development,Not-for-profit organization,1-200,Scientists,Others avg.,Applied Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
Nepal,26-41,1,Master's degree,Male,,Educational institution,,Other,Others avg.,Other (please indicate below),A reduction in job opportunities caused by automation,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,42-57,1,Doctoral degree,Male,Finance,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Nigeria,18-25,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,,,,,,,,,,,
India,26-41,1,Bachelor's degree,Male,,Educational institution,,Business professional,Others avg.,Product Manager,Advanced information warfare,0.3,0.03877471888,More specialized data science hardware,0.2976,,,,,,
China,26-41,1,Master's degree,Male,Automotive,Commercial (for-profit) entity,"10,001",Other,Others avg.,Developer,,,,,,,,,,,
United States,26-41,1,Master's degree,Male,Transportation & Logistics,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in vendor-specific data science products,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Male,,Government agency,,Data science,Data science,Data Engineer,,,,,,,,,,,
India,26-41,1,Bachelor's degree,Male,Healthcare,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Business Analyst,Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
Israel,42-57,1,Master's degree,Male,,Educational institution,,Operations,Others avg.,System Administrator,,,,,,,,,,,
Finland,58-67,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Social impacts from bias in data and models,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
